Category,Resume
Data Science,"Experienced data scientist with expertise in Python, R, machine learning, deep learning, TensorFlow, PyTorch. Built recommendation systems and NLP pipelines. Skills: pandas, scikit-learn, SQL, Tableau, AWS SageMaker, statistical modeling, A/B testing."
Data Science,"PhD in Statistics with 4 years experience in predictive analytics. Proficient in Python, R, Spark. Developed customer churn models achieving 92% accuracy. Published 3 papers on neural network architectures."
Web Development,"Full stack developer with 5 years experience in React, Node.js, Express, MongoDB. Built scalable REST APIs serving 1M+ users. Proficient in HTML5, CSS3, JavaScript, TypeScript, Docker, AWS."
Web Development,"Front-end developer specializing in Vue.js and Angular. Experience with responsive design, PWA, GraphQL. Strong understanding of UI/UX principles, accessibility standards, and performance optimization."
HR,"Human Resources Manager with 8 years experience in talent acquisition, employee relations, performance management. Skilled in HRIS systems, ADP, Workday. Managed teams of 50+ employees."
HR,"Recruitment specialist with expertise in sourcing, screening, and interviewing candidates. Experience with ATS systems, LinkedIn Recruiter, employer branding. Reduced time-to-hire by 40%."
Finance,"Financial analyst with CFA Level 2 certification. Experience in financial modeling, valuation, M&A analysis. Proficient in Excel, Bloomberg Terminal, Python for quantitative finance."
Finance,"Accountant with CPA license and 6 years experience in auditing, tax preparation, financial reporting. Skilled in QuickBooks, SAP, GAAP compliance, budgeting and forecasting."
Java Developer,"Senior Java developer with 7 years experience in Spring Boot, Hibernate, Microservices architecture. Built enterprise applications handling 500K daily transactions. AWS certified."
Java Developer,"Java full stack developer experienced in J2EE, Spring MVC, REST APIs, MySQL, MongoDB. Knowledge of design patterns, SOLID principles, CI/CD with Jenkins and Docker."
Network Security,"Cybersecurity analyst with CISSP certification. Experience in penetration testing, vulnerability assessment, SIEM tools, firewall management. Incident response and threat hunting expertise."
Network Security,"Information security engineer skilled in network security, IDS/IPS, encryption protocols. Experience with Splunk, Wireshark, Metasploit. Conducted security audits for Fortune 500 companies."
Testing,"QA Engineer with 5 years experience in manual and automated testing. Proficient in Selenium, JUnit, TestNG, Cucumber. Experience with Agile/Scrum methodologies, JIRA, bug tracking."
Testing,"Software tester experienced in API testing with Postman, performance testing with JMeter, mobile testing. Strong knowledge of test case design, regression testing, and CI/CD integration."
DevOps,"DevOps engineer with expertise in AWS, Docker, Kubernetes, Terraform, Jenkins. Implemented CI/CD pipelines reducing deployment time by 60%. Experience with monitoring tools like Prometheus and Grafana."
DevOps,"Cloud infrastructure engineer skilled in Azure, GCP, Ansible, Chef. Managed microservices architecture with 99.9% uptime. Strong scripting skills in Bash and Python."
Database,"Database administrator with 6 years experience in Oracle, MySQL, PostgreSQL. Performance tuning, backup and recovery, high availability solutions. Experience with cloud databases RDS and Aurora."
